,date,state,PM2.5,CO,NO2,PM10,SO2
1972,2020-03-14,Arizona,3.1,0.4,32,7,14.6
1999,2020-03-15,Arizona,3.4,0.5,29,8,22.5
2026,2020-03-16,Arizona,3,0.4,28,8,97.4
2053,2020-03-17,Arizona,3.4,0.5,32,6,1.1
2080,2020-03-18,Arizona,2.4,0.4,32,4,9.4
2107,2020-03-19,Arizona,2.4,0.4,39,7,1.5
2134,2020-03-20,Arizona,4.9,0.4,41,11,16.6
2161,2020-03-21,Arizona,4.3,0.5,28,14,17.2
2188,2020-03-22,Arizona,6,0.4,37,11,30.3
2215,2020-03-23,Arizona,1.8,0.4,38,8,6.9
2242,2020-03-24,Arizona,3.8,0.4,38,8,22.5
2269,2020-03-25,Arizona,4.3,0.4,41,5,2.1
2296,2020-03-26,Arizona,2,0.4,27,6,0.9
2323,2020-03-27,Arizona,3.3,0.4,28,10,1
2350,2020-03-28,Arizona,11,0.5,42,14,18.6
2377,2020-03-29,Arizona,6.7,0.4,34,11,25.3
2404,2020-03-30,Arizona,4.2,0.4,40,12,33.5
